"Name","SerialNumber","PresenceBits","Contexts","InEntra","InIntune","InAD","InSophos","InKACE","DeviceType","OS","LastSeen","PrimaryUser","Location","MultiInstanceFlag","Entra_InstanceCount","Entra_HybridCount","Entra_RegisteredCount","Entra_DuplicateFlag","Entra_DeviceIds","Entra_HybridIdMatchesAD","Entra_HybridIdMismatchExists","Intune_InstanceCount","Intune_DuplicateFlag","Intune_AzureADLinkMatchesEntraCount","Intune_AzureADLinkMismatchCount","Intune_AzureADDeviceIds","Sophos_InstanceCount","Sophos_DuplicateFlag","Sophos_Ids","Entra_DeviceId","Entra_JoinType","Entra_OperatingSystem","Entra_OperatingSystemVersion","Entra_IsManaged","Entra_IsCompliant","Entra_LastSignIn","Intune_DeviceId","Intune_DeviceName","Intune_OperatingSystem","Intune_ComplianceState","Intune_ManagementAgent","Intune_LastSync","AD_Name","AD_DNSHostName","AD_OperatingSystem","AD_LastLogonDate","AD_Enabled","AD_ObjectGUID","Sophos_Id","Sophos_Hostname","Sophos_OS","Sophos_LastSeenAt","Sophos_Health","Sophos_ipv4Addresses","KACE_ID","KACE_Machine_Name","KACE_Os_name","KACE_Machine_Ip","KACE_Machine_RAM_Used","KACE_Machine_RAM_Total","KACE_LastInventory"
"1STBOARD",,"4","AD","False","False","True","False","False",,"Windows 11 Enterprise",,,,"False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"1STBOARD","1stBoard.image.local","Windows 11 Enterprise","11/21/2025 7:32:49 PM","True","fe6fb7b7-821d-46d1-b674-ccfeb87cdca6",,,,,,,,,,,,,
"ABRDS001",,"4","AD","False","False","True","False","False",,"Windows Server 2022 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ABRDS001","ABRDS001.image.local","Windows Server 2022 Datacenter","11/24/2025 4:33:07 PM","True","8703c911-bd04-4bb9-8db8-50415677b13a",,,,,,,,,,,,,
"ACCTAPP001",,"4","AD","False","False","True","False","False",,"Windows Server 2016 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ACCTAPP001","ACCTAPP001.image.local","Windows Server 2016 Datacenter","11/26/2025 9:46:53 PM","True","57e8981d-66eb-4a24-bea7-1d5d0031dc55",,,,,,,,,,,,,
"ACCT-CHKS",,"4","AD","False","False","True","False","False",,"Windows Server 2016 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ACCT-CHKS","ACCT-CHKS.image.local","Windows Server 2016 Datacenter","11/24/2025 7:17:20 AM","True","d608b8bb-1d79-4be9-940b-400155dd2729",,,,,,,,,,,,,
"ADCS01",,"4","AD","False","False","True","False","False",,"Windows Server 2022 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ADCS01","ADCS01.image.local","Windows Server 2022 Datacenter","11/28/2025 4:30:25 PM","True","45719e70-c5e4-4df0-8b34-72c49efc7385",,,,,,,,,,,,,
"ADSYNC",,"4","AD","False","False","True","False","False",,"Windows Server 2022 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ADSYNC","ADSYNC.image.local","Windows Server 2022 Datacenter","11/23/2025 11:00:05 PM","True","78df5e1a-c27b-49b3-8d65-ca433a77bff6",,,,,,,,,,,,,
"AISERVER",,"4","AD","False","False","True","False","False",,"Windows Server 2016 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"AISERVER","AIServer.image.local","Windows Server 2016 Datacenter","11/25/2025 7:19:57 AM","True","21aef22d-4a6e-4f64-ac36-b5aca6e1d940",,,,,,,,,,,,,
"ARC-SCAN",,"4","AD","False","False","True","False","False",,"Windows 11 Pro",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ARC-SCAN","Arc-Scan.image.local","Windows 11 Pro","11/28/2025 1:47:26 PM","True","174cca34-10fa-41a6-8744-456370cc7963",,,,,,,,,,,,,
"ASSY001",,"4","AD","False","False","True","False","False",,"Windows Server 2022 Datacenter",,,"Servers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"ASSY001","ASSY001.image.local","Windows Server 2022 Datacenter","11/23/2025 1:52:06 AM","True","900f984f-c99b-457e-906b-2983518d61c2",,,,,,,,,,,,,
"AZUREADSSOACC",,"4","AD","False","False","True","False","False",,,,,"Domain Controllers","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"AZUREADSSOACC",,,,"True","9cf9bf24-2c6e-4ca2-b76a-be88c0383d32",,,,,,,,,,,,,
"BTFL-8255",,"4","AD","False","False","True","False","False",,"Windows 11 Pro",,,"17 - Bountiful","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"BTFL-8255","BTFL-8255.image.local","Windows 11 Pro","11/25/2025 12:50:11 AM","True","eb8ac2bd-5f1e-4ec5-9d83-c9f0bae04a8b",,,,,,,,,,,,,
"BTFL-8256",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"17 - Bountiful","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"BTFL-8256","BTFL-8256.image.local","Windows 11 Business","11/21/2025 3:24:03 PM","True","3f130e83-4671-4396-9ec5-656a87379f00",,,,,,,,,,,,,
"BTFL-8257",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"17 - Bountiful","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"BTFL-8257","BTFL-8257.image.local","Windows 11 Business","11/29/2025 11:03:47 AM","True","47ff3004-8b9c-4d70-9165-44a24f51e063",,,,,,,,,,,,,
"BTFL-8258",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"17 - Bountiful","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"BTFL-8258","BTFL-8258.image.local","Windows 11 Business","6/23/2049 10:44:30 PM","True","b885f2f7-2077-4b89-b731-c001186585c6",,,,,,,,,,,,,
"BTFL-8259",,"4","AD","False","False","True","False","False",,"Windows 11 Business",,,"17 - Bountiful","False","1","0","0","False","","False","False","1","False","0","0","","1","False","",,,,,,,,,,,,,,"BTFL-8259","BTFL-8259.image.local","Windows 11 Business","11/25/2025 6:04:53 PM","True","3442acfb-3603-4613-846e-37790d2d4db4",,,,,,,,,,,,,
